ProductKey,sku,product_name,old_type,subcategory,category,department,product_family,meta_code,meta_mapped_by,meta_reason 
349,42429001,Salt & Vinegar Potato Crisps,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
350,42430001,Screamin Dill Pickle Potato Crisps,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
351,42431001,Sour Cream & Onion Grab & Go,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
352,42432001,Sour Cream & Onion Potato Crisps,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
353,42433001,Sour Cream & Onion Stacks,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
354,42434001,Variety Pack Grab & Go,Snacks,Chips,Chips,Snack Foods,Food,31,SJ,All Pringles items are chips
355,42435001,Zero Fruit Punch,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
356,42436001,Zero Grape,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
357,42437001,Zero Mixed Berry,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
358,42438001,Zero Orange,,Flavored Drinks,Flavored Drinks,Beverages,Drink,221,AU,Comparison against a set of known drink manufacturers
359,42439001,Fruity Pebbles Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
360,42440001,Great Grains Crunchy Pecan Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
361,42441001,Great Grains Date Pecan Raisin Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
362,42442001,Honey Bunches Of Oat Honey Roasted Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
363,42443001,Honey Bunches Of Oats Almond Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
364,42444001,Honey Bunches Of Oats Greek Honey Crunch Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
365,42445001,Honey Bunches Of Oats Honet Roasted Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
366,42446001,Honey Bunches Of Oats Honey Roasted Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
367,42447001,Honey Bunches Of Oats Morning Energy Chocolate Almond Crunch Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
368,42448001,Honey Bunches Of Oats Morning Energy Cinnamon Crunch Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
369,42449001,Honey Bunches Of Oats Strawberry Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
370,42450001,Honey Bunches Of Oats With Almonds Cereal,Cereal,Cereal,Cereal,Breakfast Foods,Food,1,AU,Mapped from old item type into new subcategory
371,42451001,Pleasant Beef Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
372,42452001,Pleasant Canned Beets ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
373,42453001,Pleasant Canned Peas ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
374,42454001,Pleasant Canned String Beans ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
375,42455001,Pleasant Canned Tomatos ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
376,42456001,Pleasant Canned Tuna in Oil ,Tuna,Tuna,Tuna,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
377,42457001,Pleasant Canned Tuna in Water ,Tuna,Tuna,Tuna,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
378,42458001,Pleasant Canned Yams ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
379,42459001,Pleasant Chicken Noodle Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
380,42460001,Pleasant Chicken Ramen Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
381,42461001,Pleasant Chicken Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
382,42462001,Pleasant Creamed Corn ,Canned Vegetables,Canned Vegetables,Canned Vegetables,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
383,42463001,Pleasant Noodle Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
384,42464001,Pleasant Regular Ramen Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
385,42465001,Pleasant Rice Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
386,42466001,Pleasant Turkey Noodle Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
387,42467001,Pleasant Vegetable Soup ,Soup,Soup,Soup,Canned Foods,Food,1,AU,Mapped from old item type into new subcategory
388,42468001,Plato Brown Sugar ,Sugar,Sugar,Sugar,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
389,42469001,Plato Canola Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
390,42470001,Plato Chunky Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
391,42471001,Plato Corn Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
392,42472001,Plato Creamy Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
393,42473001,Plato Extra Chunky Peanut Butter ,Peanut Butter,Peanut Butter,Peanut Butter,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
394,42474001,Plato Oregano ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
395,42475001,Plato Pepper ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
396,42476001,Plato Salt ,Spices,Spices,Spices,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
397,42477001,Plato Sesame Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
398,42478001,Plato Vegetable Oil ,Cooking Oil,Cooking Oil,Cooking Oil,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
399,42479001,Plato White Sugar ,Sugar,Sugar,Sugar,Baking Goods,Food,1,AU,Mapped from old item type into new subcategory
400,42480001,Grands Biscuits Buttermilk,Other Dairy/Not Milk,Pancake Mix,Pancake Mix,Frozen Foods,Food,1156,RK,Biscuits Buttermilk mapped to Biscuits
401,42481001,Grands Biscuits Flaky Layers Buttermilk,Other Dairy/Not Milk,Pancake Mix,Pancake Mix,Frozen Foods,Food,1156,RK,Biscuits Buttermilk mapped to Biscuits
402,42482001,Grands Biscuits Southern Homestyle Buttermilk,Other Dairy/Not Milk,Pancake Mix,Pancake Mix,Frozen Foods,Food,1156,RK,Biscuits Buttermilk mapped to Biscuits
403,42483001,Grands Biscuits Southern Homestyle Buttermilk,Other Dairy/Not Milk,Pancake Mix,Pancake Mix,Frozen Foods,Food,1156,RK,Biscuits Buttermilk mapped to Biscuits
404,42484001,Grands Junior Biscuits Flaky Layers Buttermilk,Other Dairy/Not Milk,Pancake Mix,Pancake Mix,Frozen Foods,Food,1156,RK,Biscuits Buttermilk mapped to Biscuits
405,42485001,PigTail Beef TV Dinner ,TV Dinner,TV Dinner,TV Dinner,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
406,42486001,PigTail Chicken TV Dinner ,TV Dinner,TV Dinner,TV Dinner,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
407,42487001,PigTail Fajita French Fries ,French Fries,French Fries,French Fries,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
408,42488001,PigTail Frozen Broccoli ,Frozen Vegetables,Frozen Vegetables,Frozen Vegetables,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
409,42489001,PigTail Frozen Carrots ,Frozen Vegetables,Frozen Vegetables,Frozen Vegetables,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
410,42490001,PigTail Frozen Cauliflower ,Frozen Vegetables,Frozen Vegetables,Frozen Vegetables,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
411,42491001,PigTail Frozen Cheese Pizza ,Pizza,Pizza,Pizza,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
412,42492001,PigTail Frozen Chicken Breast ,Frozen Chicken,Frozen Chicken,Frozen Chicken,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
413,42493001,PigTail Frozen Chicken Thighs ,Frozen Chicken,Frozen Chicken,Frozen Chicken,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
414,42494001,PigTail Frozen Chicken Wings ,Frozen Chicken,Frozen Chicken,Frozen Chicken,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
415,42495001,PigTail Frozen Corn ,Frozen Vegetables,Frozen Vegetables,Frozen Vegetables,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
416,42496001,PigTail Frozen Mushroom Pizza ,Pizza,Pizza,Pizza,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
417,42497001,PigTail Frozen Peas ,Frozen Vegetables,Frozen Vegetables,Frozen Vegetables,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
418,42498001,PigTail Frozen Pepperoni Pizza ,Pizza,Pizza,Pizza,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
419,42499001,PigTail Frozen Sausage Pizza ,Pizza,Pizza,Pizza,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
420,42500001,PigTail Grape Popsicles ,Popsicles,Popsicles,Popsicles,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
421,42501001,PigTail Home Style French Fries ,French Fries,French Fries,French Fries,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
422,42502001,PigTail Ice Cream ,Ice Cream,Ice Cream,Ice Cream,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
423,42503001,PigTail Ice Cream Sandwich ,Ice Cream,Ice Cream,Ice Cream,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
424,42504001,PigTail Lemon Popsicles ,Popsicles,Popsicles,Popsicles,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
425,42505001,PigTail Lime Popsicles ,Popsicles,Popsicles,Popsicles,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
426,42506001,PigTail Low Fat French Fries ,French Fries,French Fries,French Fries,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
427,42507001,PigTail Orange Popsicles ,Popsicles,Popsicles,Popsicles,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
428,42508001,PigTail Turkey TV Dinner ,TV Dinner,TV Dinner,TV Dinner,Frozen Foods,Food,1,AU,Mapped from old item type into new subcategory
429,42509001,Hamburgers Pure Beef,,Hamburger,Hamburger,Meat,Food,332,AU,Character match with Hamburgers against a set of frozen meat entrees
430,42510001,Hamburgers Pure Beef,,Hamburger,Hamburger,Meat,Food,332,AU,Character match with Hamburgers against a set of frozen meat entrees
431,42511001,Evaporated Milk Original,Baking Supplies,Sugar,Sugar,Baking Goods,Food,1158,RK,Evaporated Milk is a baking good. Closest match is sugar
432,42512001,Diet Soda,Soda,Soda,Soda,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
433,42513001,Original Soda,Soda,Soda,Soda,Beverages,Drink,1,AU,Mapped from old item type into new subcategory
434,42514001,Bagels Everything,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
435,42515001,Bagels Mini/Brown Sugar Cinnamon,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
436,42516001,Bagels Mini/Cinnamon Raisin,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
437,42517001,Bagels Mini/Plain,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
438,42518001,Bagels Mini/Whole Wheat,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
439,42519001,Bagels Pre-Sliced/Plain,,Bagels,Bagels,Baked Goods,Food,62,AU,Character match with Bagel
440,42520001,Bread Cinnamon Swirl,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
441,42521001,Bread Swirl Brown Sugar Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
442,42522001,Bread Swirl Raisin Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
443,42523001,Bread White Original,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
444,42524001,Bread White Sandwich,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
445,42525001,Bread Whole Wheat Cinnamon Swirl,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
446,42526001,Farmhouse Bread Hearty White,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
447,42527001,Farmhouse Bread Oatmeal,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
448,42528001,Farmhouse Bread Potato,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
449,42529001,Farmhouse Bread Sourdough,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
450,42530001,Goldfish Baby Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
451,42531001,Goldfish Blasted Burstin BBQ,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
452,42532001,Goldfish Blasted Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
453,42533001,Goldfish Blasted Slammin Sour Cream & Onion,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
454,42534001,Goldfish Blasted Xplosive Pizza,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
455,42535001,Goldfish Blasted Xtra Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
456,42536001,Goldfish Blasted Xtra Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
457,42537001,Goldfish Blasted Xtra Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
458,42538001,Goldfish Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
459,42539001,Goldfish Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
460,42540001,Goldfish Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
461,42541001,Goldfish Cheddar Colors,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
462,42542001,Goldfish Grahams Cookies And Creme,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
463,42543001,Goldfish Grahams Smores,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
464,42544001,Goldfish Grahams Vanilla Cupcake,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
465,42545001,Goldfish Mix Extra Cheddar & Pretzel,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
466,42546001,Goldfish Mix Extra Cheddar + Pretzel,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
467,42547001,Goldfish Mix Honey Mustard + Pretzel,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
468,42548001,Goldfish Organic Wheat Cheddar Lunch Packs,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
469,42549001,Goldfish Parmesan,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
470,42550001,Goldfish Pizza,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
471,42551001,Goldfish Pretzel,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
472,42552001,Goldfish Princess,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
473,42553001,Goldfish Princess,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
474,42554001,Goldfish Saltine,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
475,42555001,Goldfish Sweet & Savory,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
476,42556001,Goldfish Whole Grain Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
477,42557001,Goldfish Whole Grain Cheddar Colors,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
478,42558001,Goldfish Whole Grain Cinnamon,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
479,42559001,Goldfish Whole Grain Honey Grahams,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
480,42560001,Goldfish Whole Grain Pretzel,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
481,42561001,Goldfish Whole Grain Xtra Cheddar,,Crackers,Crackers,Snack Foods,Food,61,SJ,Goldfish cracker character match
482,42562001,Italian Bread With Sesame Seeds,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
483,42563001,Jewish Pumpernickel Dark Pump,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,1159,RK,Jewish Pumpernickel Bread mapped to Sliced Bread
484,42564001,Jewish Rye & Pumpernickel Deli Swirl,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,63,AU,Character match with Bagel
485,42565001,Jewish Rye Seeded,,Sliced Bread,Sliced Bread,Baked Goods,Food,63,AU,Character match with Bagel
486,42566001,Jewish Rye Seedless,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,63,AU,Character match with Bagel
487,42567001,Light Style Bread 7 Grain,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
488,42568001,Light Style Bread Soft Wheat,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
489,42569001,Stuffing Corn Bread,Stuffing,Spices,Spices,Baking Goods,Food,1160,RK,Stuffing Corn Bread mapped to Baking Mixes / Dry Goods
490,42570001,Swirl Bread Blueberry,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
491,42571001,Swirl Bread Brown Sugar Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
492,42572001,Swirl Bread Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
493,42573001,Swirl Bread French Toast,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
494,42574001,Swirl Bread Raisin Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
495,42575001,Swirl Bread Strawberry,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
496,42576001,Swirl Oatmeal Bread Apple & Cinnamon,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
497,42577001,Swirl Oatmeal Bread Maple & Brown Sugar,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
498,42578001,Texas Toast 5 Cheese,,Sliced Bread,Sliced Bread,Baked Goods,Food,1161,RK,Texas Toast Cheese Bread mapped to Sliced Bread
499,42579001,Texas Toast Garlic,,Sliced Bread,Sliced Bread,Baked Goods,Food,1162,RK,Texas Toast Garlic Bread mapped to Sliced Bread
500,42580001,Very Thin Bread 100% Whole Wheat,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
501,42581001,Very Thin Bread White,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
502,42582001,Whole Grain Bread 100% Wheat Bread,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
503,42583001,Whole Grain Bread 15 Grain,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
504,42584001,Whole Grain Bread Honey Wheat,Bread,Sliced Bread,Sliced Bread,Baked Goods,Food,64,AU,From a character match with Bread
505,42585001,Anniversary Blend Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
506,42586001,Cafe Domingo Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
507,42587001,Cafe Solano Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
508,42588001,Colombian Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
509,42589001,French Roast Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
510,42590001,House Blend Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
511,42591001,House Blend Decaf Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
512,42592001,Major Dickason Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
513,42593001,Major Dickason Decaf Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
514,42594001,Medium Brazil Monte Alegre Coffee,Coffee/Creamer,Coffee,Coffee,Baking Goods,Drink,12,AU,This manufacturer only makes coffee.
515,42595001,Chopped Beef Dog Food,,Pet Food,Pet Food,Household,Non-Consumable,1163,RK,Dog Food mapped to Pet Supplies 
516,42596001,Cough & Congestion Cherry,,Aspirin,Aspirin,Health and Hygiene,Non-Consumable,1164,RK,Cough & Congestion Cherry mapped to Medicines 
517,42597001,Pasta Butter And Garlic,Pasta/Noodles,Pasta,Pasta,Starchy Foods,Food,1225,RK,Pasta Butter And Garlic mapped to Boxed Meals
518,42598001,Dutch Style Hot Cocoa Mix,,Chocolate,Chocolate,Beverages,Drink,181,AU,character match for Hot Cocoa
519,42599001,Baby Dry Size 1,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
520,42600001,Baby Dry Size 2,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
521,42601001,Baby Dry Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
522,42602001,Baby Dry Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
523,42603001,Baby Dry Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
524,42604001,Baby Dry Size 4,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
525,42605001,Baby Dry Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
526,42606001,Baby Dry Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
527,42607001,Baby Dry Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
528,42608001,Baby Dry Size 6,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
529,42609001,Baby Dry Size 6,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
530,42610001,Cruisers Size 3,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
531,42611001,Cruisers Size 4,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
532,42612001,Cruisers Size 4,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
533,42613001,Cruisers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
534,42614001,Cruisers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
535,42615001,Cruisers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
536,42616001,Cruisers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
537,42617001,Cruisers Size 5,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
538,42618001,Swaddlers Size 1,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
539,42619001,Swaddlers Size 2,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
540,42620001,Swaddlers Size Newborn,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
541,42621001,Swaddlers Size Newborn,Diapers,Diapers,Diapers,Household,Non-Consumable,1,AU,Mapped from old item type into new subcategory
542,42622001,Oxy Blue,,Cleaners,Cleaners,Household,Non-Consumable,1167,RK,Oxy Blue mapped to Cleaners
543,42623001,Oxi Clean Laundry Detergent,,Cleaners,Cleaners,Household,Non-Consumable,1168,RK,Laundry Detergent mapped to Cleaners
544,42624001,Drink Mix Chocolate Malt,,Flavored Drinks,Flavored Drinks,Beverages,Drink,301,AU,Comparison against set of known flavored drink manufacturers and verified by hand
545,42625001,Drink Mix Chocolate Malt,,Flavored Drinks,Flavored Drinks,Beverages,Drink,301,AU,Comparison against set of known flavored drink manufacturers and verified by hand
546,42626001,Drink Mix Rich Chocolate,,Flavored Drinks,Flavored Drinks,Beverages,Drink,301,AU,Comparison against set of known flavored drink manufacturers and verified by hand
547,42627001,Hot Dogs Regular,,Hot Dogs,Hot Dogs,Deli,Food,1171,RK,Hot Dogs mapped to Hot Dogs
548,42628001,Hot Dogs Turkey Smoked,,Hot Dogs,Hot Dogs,Deli,Food,1171,RK,Hot Dogs mapped to Hot Dogs
549,42629001,Microwave Popcorn Butter,,Popcorn,Popcorn,Snack Foods,Food,1172,RK,Microwave Popcorn Butter mapped to Snack Foods
550,42630001,Popcorn Garlic Butter & Sea Salt,,Popcorn,Popcorn,Snack Foods,Food,1173,RK,Popcorn Garlic Butter & Sea Salt mapped to Snack Foods
551,42631001,Blueberries In Light Syrup,,Sauces,Sauces,Baking Goods,Food,151,SJ,Sauce is best fit for syrup
552,42632001,French Fries Shoestring,,French Fries,French Fries,Frozen Foods,Food,1174,RK,French Fries mapped to Frozen Potatoes
553,42633001,Meatballs Angus Beef,,Hot Dogs,Hot Dogs,Deli,Food,333,AU,"Classifying gourmet grillers, meatballs, and sausages as Hot Dogs"
554,42634001,Chicken Patties,,Frozen Chicken,Frozen Chicken,Frozen Foods,Food,331,AU,Character match with Chicken against a set of frozen meat entrees
